"id","register","numtones","midi","forte","har_18_harmonicity","milne_13_harmonicity","parn_88_root_ambig","parn_94_complex","bowl_18_min_freq_dist","hutch_78_roughness","seth_93_roughness","vass_01_roughness","wang_13_roughness","har_19_corpus","SpecSharp","SpecRolloff","SpecFlux","SpecCentr","SpecIrreg","KeyClar","CorpPop","CorpJazz","CorpClas","TonDiss"
"0001","0","2","52-53","2-1",0.941931969299263,0.707106787773168,-2.04939015319192,0.0675458936741616,9.80033726006698,0.494278824219666,0.661875857227909,2.01090387198865,1.26857276888437,-11.2403421635513,0.773403,1051.43,3.03668,730.325,1.2567,0.463786,-9.85758902795363,-8.16536595954493,-9.2578114306014,1
"0002","0","2","52-54","2-2",1.0943008651589,0.732423362285411,-1.87082869338697,0.330587883860552,20.1834328993822,0.338545830740363,0.598362336370288,1.57663414564434,0.945164377543237,-10.1417298748832,0.783832,1115.35,4.05835,781.181,0.419587,0.54481,-7.28041317199458,-6.26152329634437,-7.70380083783737,1
"0003","0","2","52-55","2-3",1.00354157407174,0.712561151403412,-2.04939015319192,0.347115805619565,31.1839395344397,0.173962753109537,0.548073779951196,1.44594328807668,0.692577112911403,-9.85404780243143,0.748938,992.883,3.74978,738.204,0.77128,0.698443,-7.30058898374176,-6.85920166480343,-6.30477408206174,1
"0004","0","2","52-56","2-4",1.0699768326589,0.733508698953899,-1.79743406854583,0.457925428792723,42.8385703335376,0.10414517817427,0.474413087129066,1.20383721517024,0.832487887542185,-9.85404780243143,0.753087,1158.08,2.13637,793.508,0.773757,0.643024,-6.25113485824702,-6.51397269034788,-6.38120173091403,1
"0005","0","2","52-57","2-5",1.2521137715718,0.80404805919527,-1.67332005306815,0.380649358693775,55.186221543565,0.0729325705955871,0.391443324012488,0.981392179326912,0.789482259873865,-7.14599760132922,0.794816,1158.08,2.15671,845.99,0.740197,0.703196,-5.71986443207317,-6.01300358673037,-6.09312586240771,1
"0006","0","2","52-58","2-6",0.942577195756561,0.710131347576048,-2.04939015319192,0.482800097206996,68.26810230261,0.113248179552473,0.400844733923654,0.941568494244259,0.792777279673709,-11.2403421635513,0.811733,1171.2,2.34788,856.407,0.188999,0.425806,-11.1300541003761,-9.08702709571637,-8.49008356951247,1
"0007","0","2","52-59","2-5",1.2521137715718,0.80404805919527,-1.67332005306815,0.500532506073585,82.1278721716271,0.0366671861602061,0.270491914649889,0.665753845096535,0.537260161014525,-3.97351481603073,0.769555,1159.09,2.1487,775.616,0.424137,0.822369,-5.71986443207317,-6.01300358673037,-6.09312586240771,1
"0008","0","2","52-60","2-4",1.0699768326589,0.733508698953899,-1.79743406854583,0.49676241666482,96.8117868441637,0.112187088752535,0.343074554462337,0.721162541834547,0.648404629339529,-9.294432014496,0.797209,1159.43,2.8705,845.762,0.18533,0.615069,-6.25113485824702,-6.51397269034788,-6.38120173091403,1
"0009","0","2","52-61","2-3",1.00354157407174,0.712561151403412,-2.04939015319192,0.52524565197084,112.368852520437,0.0863544884019863,0.310471522447758,0.619091268932614,0.787969359246247,-11.2403421635513,0.763881,1158.42,3.50936,797.994,0.401408,0.635876,-7.30058898374176,-6.85920166480343,-6.30477408206174,1
"0010","0","2","52-62","2-2",1.0943008651589,0.732423362285411,-1.87082869338697,0.562270154630103,128.850989460973,0.144770000767928,0.317853924981199,0.572047781672135,0.681434529557457,-8.10484794762217,0.762656,992.883,2.41598,781.182,0.387119,0.593815,-7.28041317199458,-6.26152329634437,-7.70380083783737,1
